index,text,actual,predicted
94,"Let ABC be a triangle with CA=CB and angle{ACB}=120^ circ, and let M be the midpoint of AB. Let P be a variable point of the circumcircle of ABC, and let Q be the point on the segment CP such that QP = 2QC. It is given that the line through P and perpendicular to AB intersects the line MQ at a unique point N. Prove that there exists a fixed circle such that N lies on this circle for all possible positions of P.",1.7802197802197806,1.785876
5,(a) Find all positive integers n for which 2^n-1 is divisible by 7. (b) Prove that there is no positive integer n for which 2^n+1 is divisible by 7.,1.8253968253968256,1.8505981
174,"In triangle ABC the bisector of angle BCA intersects the circumcircle again at R, the perpendicular bisector of BC at P, and the perpendicular bisector of AC at Q. The midpoint of BC is K and the midpoint of AC is L. Prove that the triangles RPK and RQL have the same area. Author: Marek Pechal, Czech Republic",1.8846153846153848,2.2088032
2,"Let ABC be triangle with incenter I. A point P in the interior of the triangle satisfies angle PBA+ angle PCA = angle PBC+ angle PCB. Show that AP geq AI, and that equality holds if and only if P=I.",1.979345955249571,2.1145952
108,"We consider two sequences of real numbers x_{1} geq x_{2} geq ldots geq x_{n} and y_{1} geq y_{2} geq ldots geq y_{n}. Let z_{1}, z_{2}, . ldots, z_{n} be a permutation of the numbers y_{1}, y_{2}, ldots, y_{n}. Prove that sum limits_{i=1}^{n} ( x_{i} - y_{i} )^{2} leq sum limits_{i=1}^{n} ( x_{i} - z_{i})^{2}.",2.012345679012345,2.2124605
420,"The function f(x,y) satisfies: f(0,y)=y+1, f(x+1,0) = f(x,1), f(x+1,y+1)=f(x,f(x+1,y)) for all non-negative integers x,y. Find f(4,1981).",2.0694980694980702,2.323297
314,"Let Gamma be the circumcircle of triangle ABC. Let D be a point on the side BC. The tangent to Gamma at A intersects the parallel line to BA through D at point E. The segment CE intersects Gamma again at F. Suppose B, D, F, E are concyclic. Prove that AC, BF, DE are concurrent.",2.1,2.2773864
363,"The Bank of Oslo issues two types of coin: aluminum (denoted A) and bronze (denoted B). Marianne has n aluminum coins and n bronze coins arranged in a row in some arbitrary initial order. A chain is any subsequence of consecutive coins of the same type. Given a fixed positive integer k leq 2n, Gilberty repeatedly performs the following operation: he identifies the longest chain containing the k^{th} coin from the left and moves all coins in that chain to the left end of the row. For example, if n=4 and k=4, the process starting from the ordering AABBBABA would be AABBBABA to BBBAAABA to AAABBBBA to BBBBAAAA to ... Find all pairs (n,k) with 1 leq k leq 2n such that for every initial ordering, at some moment during the process, the leftmost n coins will all be of the same type.",2.1073266356285227,2.0518289
333,Solve the equation cos^2{x}+ cos^2{2x}+ cos^2{3x}=1,2.1176470588235285,2.5220187
362,"The diagonals AC and CE of the regular hexagon ABCDEF are divided by inner points M and N respectively, so that {AM over AC}={CN over CE}=r. Determine r if B,M and N are collinear.",2.1368547418967587,2.3426127
214,"For a positive integer m denote by S(m) and P(m) the sum and product, respectively, of the digits of m. Show that for each positive integer n, there exist positive integers a_1, a_2, ldots, a_n satisfying the following conditions: S(a_1) < S(a_2) < cdots < S(a_n) text{ and } S(a_i) = P(a_{i+1}) quad (i=1,2, ldots,n). (We let a_{n+1} = a_1.) Problem Committee of the Japan Mathematical Olympiad Foundation",2.1857142857142864,1.8972666
115,"Let ABC be a triangle, and let D be a point on side BC. A line through D intersects side AB at X and ray AC at Y . The circumcircle of triangle BXD intersects the circumcircle omega of triangle ABC again at point Z distinct from point B. The lines ZD and ZY intersect omega again at V and W respectively. Prove that AB = V W Proposed by Warut Suksompong, Thailand",2.2,2.5822582
335,"Find all function f: mathbb{R} rightarrow mathbb{R} such that for all x,y in mathbb{R} the following equality holds f( left lfloor x right rfloor y)=f(x) left lfloor f(y) right rfloor where left lfloor a right rfloor is greatest integer not greater than a. Proposed by Pierre Bornsztein, France",2.21483942414175,2.29494
298,"Let ABC be an acute triangle with orthocenter H, and let W be a point on the side BC, lying strictly between B and C. The points M and N are the feet of the altitudes from B and C, respectively. Denote by omega_1 is the circumcircle of BWN, and let X be the point on omega_1 such that WX is a diameter of omega_1. Analogously, denote by omega_2 the circumcircle of triangle CWM, and let Y be the point such that WY is a diameter of omega_2. Prove that X,Y and H are collinear. Proposed by Warut Suksompong and Potcharapol Suteparuk, Thailand",2.225535375440498,2.2843347
110,"Let a_0 < a_1 < a_2 ldots be an infinite sequence of positive integers. Prove that there exists a unique integer n geq 1 such that a_n < frac{a_0+a_1+a_2+ cdots+a_n}{n} leq a_{n+1}. Proposed by Gerhard Woginger, Austria.",2.3596938775510203,2.7279885
73,"For what real values of x is sqrt{x+ sqrt{2x-1}}+ sqrt{x- sqrt{2x-1}}=A given a) A= sqrt{2}; b) A=1; c) A=2, where only non-negative real numbers are admitted for square roots?",2.361111111111112,2.8694801
16,"Given any set A = {a_1, a_2, a_3, a_4 } of four distinct positive integers, we denote the sum a_1 +a_2 +a_3 +a_4 by s_A. Let n_A denote the number of pairs (i, j) with 1 leq i < j leq 4 for which a_i +a_j divides s_A. Find all sets A of four distinct positive integers which achieve the largest possible value of n_A. Proposed by Fernando Campos, Mexico",2.362344582593251,2.3615756
269,"Let P be a point interior to triangle ABC (with CA neq CB). The lines AP, BP and CP meet again its circumcircle Gamma at K, L, respectively M. The tangent line at C to Gamma meets the line AB at S. Show that from SC = SP follows MK = ML. Proposed by Marcin E. Kuczma, Poland",2.3643410852713185,2.5646648
318,Let ABC be a triangle with incentre I. The circle through B tangent to AI at I meets side AB again at P. The circle through C tangent to AI at I meets side AC again at Q. Prove that PQ is tangent to the incircle of ABC.,2.405247813411079,2.3201547
100,"Consider the convex quadrilateral ABCD. The point P is in the interior of ABCD. The following ratio equalities hold: angle PAD: angle PBA: angle DPA=1:2:3= angle CBP: angle BAP: angle BPCProve that the following three lines meet in a point: the internal bisectors of angles angle ADP and angle PCB and the perpendicular bisector of segment AB. Proposed by Dominik Burek, Poland",2.4095547309833023,2.6991553
164,"Five students A, B, C, D, E took part in a contest. One prediction was that the contestants would finish in the order ABCDE. This prediction was very poor. In fact, no contestant finished in the position predicted, and no two contestants predicted to finish consecutively actually did so. A second prediction had the contestants finishing in the order DAECB. This prediction was better. Exactly two of the contestants finished in the places predicted, and two disjoint pairs of students predicted to finish consecutively actually did so. Determine the order in which the contestants finished.",2.421875,2.1351538
277,Determine all real numbers x which satisfy the inequality: sqrt{3-x}- sqrt{x+1}> dfrac{1}{2},2.450980392156863,2.8174152
78,"Let H be the orthocenter of the triangle ABC. Let M and N be the midpoints of the sides AB and AC, respectively. Assume that H lies inside the quadrilateral BMNC and that the circumcircles of triangles BMH and CNH are tangent to each other. The line through H parallel to BC intersects the circumcircles of the triangles BMH and CNH in the points K and L, respectively. Let F be the intersection point of MK and NL and let J be the incenter of triangle MHN. Prove that F J = F A.",2.4714285714285724,2.4277387
419,"An ordered pair of integers (m,n) with 1<m<n is said to be a Benelux couple if the following two conditions hold: m has the same prime divisors as n, and m+1 has the same prime divisors as n+1. (a) Find three Benelux couples (m,n) with m leqslant 14. (b) Prove that there are infinitely many Benelux couples",2.571428571428571,2.3739605
299,"Let P and Q be on segment BC of an acute triangle ABC such that angle PAB= angle BCA and angle CAQ= angle ABC. Let M and N be the points on AP and AQ, respectively, such that P is the midpoint of AM and Q is the midpoint of AN. Prove that the intersection of BM and CN is on the circumference of triangle ABC. Proposed by Giorgi Arabidze, Georgia.",2.586734693877552,2.3961835
295,"Let m and n be positive integers such that 1 le m < n. In their decimal representations, the last three digits of 1978^m are equal, respectively, to the last three digits of 1978^n. Find m and n such that m + n has its least value.",2.5883838383838373,2.489242
93,Three circles of equal radius have a common point O and lie inside a given triangle. Each circle touches a pair of sides of the triangle. Prove that the incenter and the circumcenter of the triangle are collinear with the point O.,2.5945945945945947,3.0919726
395,We consider a point P in a plane p and a point Q not in p. Determine all the points R from p for which frac{QP+PR}{QR} is maximum.,2.680722891566264,2.8406675
14,"Prove that for each real number r>2, there are exactly two or three positive real numbers x satisfying the equation x^2=r lfloor x rfloor.",2.7428571428571424,2.9731328
168,A cyclic quadrilateral ABXC has circumcentre O. Let D be a point on line BX such that AD = BD. Let E be a point on line CX such that AE = CE. Prove that the circumcentre of triangle triangle DEX lies on the perpendicular bisector of OA.,2.7586206896551726,3.177313
224,"Let ABC be an isosceles triangle with AB = AC. M is the midpoint of BC and O is the point on the line AM such that OB is perpendicular to AB. Q is an arbitrary point on BC different from B and C. E lies on the line AB and F lies on the line AC such that E, Q, F are distinct and collinear. Prove that OQ is perpendicular to EF if and only if QE = QF.",2.853432282003711,3.1223154
156,Prove that every tetrahedron has a vertex whose three edges have the right lengths to form a triangle.,2.8571428571428568,3.056607
104,"Solve the system of equations |a_1-a_2|x_2+|a_1-a_3|x_3+|a_1-a_4|x_4=1 |a_2-a_1|x_1+|a_2-a_3|x_3+|a_2-a_4|x_4=1 |a_3-a_1|x_1+|a_3-a_2|x_2+|a_3-a_4|x_4=1 |a_4-a_1|x_1+|a_4-a_2|x_2+|a_4-a_3|x_3=1 where a_1, a_2, a_3, a_4 are four different real numbers.",2.8571428571428568,2.9157686
72,"Determine all pairs (x, y) of integers such that 1+2^{x}+2^{2x+1}= y^{2}.",2.860011474469306,3.2022536
399,"Let H be the orthocenter of an acute-angled triangle ABC. The circle Gamma_{A} centered at the midpoint of BC and passing through H intersects the sideline BC at points A_{1} and A_{2}. Similarly, define the points B_{1}, B_{2}, C_{1} and C_{2}. Prove that the six points A_{1}, A_{2}, B_{1}, B_{2}, C_{1} and C_{2} are concyclic. Author: Andrey Gavrilyuk, Russia",2.8865153538050734,2.983934
122,"A positive integer is called fancy if it can be expressed in the form 2^{a_1}+2^{a_2}+ cdots+ 2^{a_{100}},where a_1,a_2, cdots, a_{100} are non-negative integers that are not necessarily distinct. Find the smallest positive integer n such that no multiple of n is a fancy number. Senior Problems Committee of the Australian Mathematical Olympiad Committee",2.928571428571428,2.6028101
114,"Let Gamma be the circumcircle of acute triangle ABC. Points D and E are on segments AB and AC respectively such that AD = AE. The perpendicular bisectors of BD and CE intersect minor arcs AB and AC of Gamma at points F and G respectively. Prove that lines DE and FG are either parallel or they are the same line. Proposed by Silouanos Brazitikos, Evangelos Psychas and Michael Sarantis, Greece",2.9509379509379507,2.9271386
76,"Given a positive integer n ge 2, determine the largest positive integer N for which there exist N+1 real numbers a_0, a_1, dots, a_N such that (1) a_0+a_1 = - frac{1}{n}, and (2) (a_k+a_{k-1})(a_k+a_{k+1})=a_{k-1}-a_{k+1} for 1 le k le N-1.",2.979407979407979,2.887986
372,"Find all sets of four real numbers x_1, x_2, x_3, x_4 such that the sum of any one and the product of the other three is equal to 2.",3.020833333333334,2.909574
356,"M is any point on the side AB of the triangle ABC. r,r_1,r_2 are the radii of the circles inscribed in ABC,AMC,BMC. q is the radius of the circle on the opposite side of AB to C, touching the three sides of AB and the extensions of CA and CB. Similarly, q_1 and q_2. Prove that r_1r_2q=rq_1q_2.",3.0285714285714285,2.791667
306,"Find all triples (a, b, c) of real numbers such that ab + bc + ca = 1 and a^2b + c = b^2c + a = c^2a + b.",3.0758017492711365,3.557713
57,"Let n be a positive integer and let a_1,a_2,a_3, ldots,a_k ( k ge 2) be distinct integers in the set { 1,2, ldots,n} such that n divides a_i(a_{i + 1} - 1) for i = 1,2, ldots,k - 1. Prove that n does not divide a_k(a_1 - 1). Proposed by Ross Atkins, Australia",3.1378002528445013,3.2553983
365,"Triangle ABC has circumcircle Omega and circumcenter O. A circle Gamma with center A intersects the segment BC at points D and E, such that B, D, E, and C are all different and lie on line BC in this order. Let F and G be the points of intersection of Gamma and Omega, such that A, F, B, C, and G lie on Omega in this order. Let K be the second point of intersection of the circumcircle of triangle BDF and the segment AB. Let L be the second point of intersection of the circumcircle of triangle CGE and the segment CA. Suppose that the lines FK and GL are different and intersect at the point X. Prove that X lies on the line AO. Proposed by Greece",3.151770240158455,2.9823775
89,Determine all values of x in the interval 0 leq x leq 2 pi which satisfy the inequality 2 cos{x} leq sqrt{1+ sin{2x}}- sqrt{1- sin{2x}} leq sqrt{2}.,3.1562500000000004,3.544302
343,"Find all pairs (a,b) of positive integers such that a^3 is multiple of b^2 and b-1 is multiple of a-1.",3.157142857142857,3.1133404
31,"Take r such that 1 le r le n, and consider all subsets of r elements of the set {1,2, ldots,n }. Each subset has a smallest element. Let F(n,r) be the arithmetic mean of these smallest elements. Prove that: F(n,r)={n+1 over r+1}.",3.212355212355212,2.9548616
49,"A set of positive integers is called fragrant if it contains at least two elements and each of its elements has a prime factor in common with at least one of the other elements. Let P(n)=n^2+n+1. What is the least possible positive integer value of b such that there exists a non-negative integer a for which the set {P(a+1),P(a+2), ldots,P(a+b) }is fragrant?",3.222591362126245,2.9894552
267,"In an acute-angled triangle ABC the interior bisector of angle A meets BC at L and meets the circumcircle of ABC again at N. From L perpendiculars are drawn to AB and AC, with feet K and M respectively. Prove that the quadrilateral AKNM and the triangle ABC have equal areas.",3.2790837854129,3.5079145
99,"Let ABC be an acute-angled triangle in which BC<AB and BC<CA. Let point P lie on segment AB and point Q lie on segment AC such that P neq B, Q neq C and BQ = BC = CP. Let T be the circumcenter of triangle APQ, H the orthocenter of triangle ABC, and S the point of intersection of the lines BQ and CP. Prove that T, H, and S are collinear.",3.326898326898328,3.2764196
98,"Let x_1,x_2, dots,x_{2023} be pairwise different positive real numbers such that a_n= sqrt{(x_1+x_2+ dots+x_n) left( frac{1}{x_1}+ frac{1}{x_2}+ dots+ frac{1}{x_n} right)}is an integer for every n=1,2, dots,2023. Prove that a_{2023} geqslant 3034.",3.34799722157907,3.4900723
159,"Let n be a natural number. Prove that left lfloor frac{n+2^0}{2^1} right rfloor + left lfloor frac{n+2^1}{2^2} right rfloor + cdots + left lfloor frac{n+2^{n-1}}{2^n} right rfloor =n. RemarkFor any real number x, the number lfloor x rfloor represents the largest integer smaller or equal with x.",3.351648351648352,3.6574454
257,"Let ABCD be a cyclic quadrilateral. Let P, Q, R be the feet of the perpendiculars from D to the lines BC, CA, AB, respectively. Show that PQ=QR if and only if the bisectors of angle ABC and angle ADC are concurrent with AC.",3.382306970928415,3.6772034
320,"In a triangle ABC we have AB = AC. A circle which is internally tangent with the circumscribed circle of the triangle is also tangent to the sides AB, AC in the points P, respectively Q. Prove that the midpoint of PQ is the center of the inscribed circle of the triangle ABC.",3.409090909090909,3.4496937
198,"The function f(n) is defined on the positive integers and takes non-negative integer values. f(2)=0,f(3)>0,f(9999)=3333 and for all m,n: f(m+n)-f(m)-f(n)=0 text{ or } 1. Determine f(1982).",3.4093637454981995,3.869515
181,1. Let ABC be an acute-angled triangle with AB neq AC. The circle with diameter BC intersects the sides AB and AC at M and N respectively. Denote by O the midpoint of the side BC. The bisectors of the angles angle BAC and angle MON intersect at R. Prove that the circumcircles of the triangles BMR and CNR have a common point lying on the side BC.,3.42445620223398,3.9672701
157,"Find the maximum value of x_{0} for which there exists a sequence x_{0},x_{1} cdots ,x_{1995} of positive reals with x_{0} = x_{1995}, such that x_{i - 1} + frac {2}{x_{i - 1}} = 2x_{i} + frac {1}{x_{i}}, for all i = 1, cdots ,1995.",3.4396671289875167,3.2408
414,"Prove that 0 le yz+zx+xy-2xyz le{7 over27}, where x,y and z are non-negative real numbers satisfying x+y+z=1.",3.4895833333333326,3.6915598
50,"Five points A_1,A_2,A_3,A_4,A_5 lie on a plane in such a way that no three among them lie on a same straight line. Determine the maximum possible value that the minimum value for the angles angle A_iA_jA_k can take where i, j, k are distinct integers between 1 and 5.",3.5857142857142854,4.095535
322,"Let mathbb{Z}^+ be the set of positive integers. Determine all functions f : mathbb{Z}^+ to mathbb{Z}^+ such that a^2+f(a)f(b) is divisible by f(a)+b for all positive integers a,b.",3.6571428571428566,3.6569064
207,a.) For which n>2 is there a set of n consecutive positive integers such that the largest number in the set is a divisor of the least common multiple of the remaining n-1 numbers? b.) For which n>2 is there exactly one set having this property?,3.66023166023166,3.7568762
227,"In a sports meeting a total of m medals were awarded over n days. On the first day one medal and frac{1}{7} of the remaining medals were awarded. On the second day two medals and frac{1}{7} of the remaining medals were awarded, and so on. On the last day, the remaining n medals were awarded. How many medals did the meeting last, and what was the total number of medals ?",3.682432432432432,3.8258672
345,"An integer n geq 2 having exactly s positive divisors 1=d_1<d_2< cdots<d_s=n is said to be good if there exists an integer k, with 2 leq k leq s, such that d_k>1+d_1+ cdots+d_{k-1}. An integer n geq 2 is said to be bad if it is not good. (a) Show that there are infinitely many bad integers. (b) Prove that, among any seven consecutive integers all greater than 2, there are always at least four good integers. (c) Show that there are infinitely many sequences of seven consecutive good integers.",3.704600484261501,3.7283597
150,"Let ABC be a triangle. Prove that there exists a point D on the side AB of the triangle ABC, such that CD is the geometric mean of AD and DB, iff the triangle ABC satisfies the inequality sin A sin B le sin^2 frac{C}{2}. CommentAlternative formulation, from IMO ShortList 1974, Finland 2: We consider a triangle ABC. Prove that: sin(A) sin(B) leq sin^2 left( frac{C}{2} right) is a necessary and sufficient condition for the existence of a point D on the segment AB so that CD is the geometrical mean of AD and BD.",3.726190476190476,3.1867461
133,"Determine the greatest number, who is the product of some positive integers, and the sum of these numbers is 1976.",3.752997601918465,3.888843
68,"The parallelogram ABCD has AB=a,AD=1, angle BAD=A, and the triangle ABD has all angles acute. Prove that circles radius 1 and center A,B,C,D cover the parallelogram if and only a le cos A+ sqrt3 sin A.",3.783783783783784,4.5452952
186,Determine all positive integers n for which dfrac{n^2+1}{[ sqrt{n}]^2+2} is an integer. Here [r] denotes the greatest integer less than or equal to r.,3.8,4.2348423
222,"A finite set of integers is called bad if its elements add up to 2010. A finite set of integers is a Benelux-set if none of its subsets is bad. Determine the smallest positive integer n such that the set {502, 503, 504, . . . , 2009 } can be partitioned into n Benelux-sets. (A partition of a set S into n subsets is a collection of n pairwise disjoint subsets of S, the union of which equals S.) (2nd Benelux Mathematical Olympiad 2010, Problem 1)",3.835978835978836,3.8432517
232,"A domino is a 1 times 2 or 2 times 1 tile. Let n ge 3 be an integer. Dominoes are placed on an n times n board in such a way that each domino covers exactly two cells of the board, and dominoes do not overlap. The value of a row or column is the number of dominoes that cover at least one cell of this row or column. The configuration is called balanced if there exists some k ge 1 such that each row and each column has a value of k. Prove that a balanced configuration exists for every n ge 3 , and find the minimum number of dominoes needed in such a configuration.",3.83882783882784,4.2001305
153,"Show that r = 2 is the largest real number r which satisfies the following condition: If a sequence a_1, a_2, ldots of positive integers fulfills the inequalities a_n leq a_{n+2} leq sqrt{a_n^2+ra_{n+1}}for every positive integer n, then there exists a positive integer M such that a_{n+2} = a_n for every n geq M.",3.842857142857144,3.8397741
309,"We say that a finite set mathcal{S} of points in the plane is balanced if, for any two different points A and B in mathcal{S}, there is a point C in mathcal{S} such that AC=BC. We say that mathcal{S} is centre-free if for any three different points A, B and C in mathcal{S}, there is no points P in mathcal{S} such that PA=PB=PC. (a) Show that for all integers n ge 3, there exists a balanced set consisting of n points. (b) Determine all integers n ge 3 for which there exists a balanced centre-free set consisting of n points. Proposed by Netherlands",3.847487001733103,3.643839
96,"Suppose a,b,c are the sides of a triangle. Prove that a^2(b+c-a)+b^2(a+c-b)+c^2(a+b-c) leq 3abc",3.8492063492063497,4.3015776
75,"Let ABC be a triangle with circumcentre O. The points D,E,F lie in the interiors of the sides BC,CA,AB respectively, such that DE is perpendicular to CO and DF is perpendicular to BO. (By interior we mean, for example, that the point D lies on the line BC and D is between B and C on that line.) Let K be the circumcentre of triangle AFE. Prove that the lines DK and BC are perpendicular. Netherlands (Merlijn Staps)",3.8571428571428577,3.9681315
326,"A set S of points from the space will be called completely symmetric if it has at least three elements and fulfills the condition that for every two distinct points A and B from S, the perpendicular bisector plane of the segment AB is a plane of symmetry for S. Prove that if a completely symmetric set is finite, then it consists of the vertices of either a regular polygon, or a regular tetrahedron or a regular octahedron.",3.86031746031746,3.7427206
130,"Let mathbb{R}^+ denote the set of positive real numbers. Find all functions f: mathbb{R}^+ to mathbb{R}^+ such that for each x in mathbb{R}^+, there is exactly one y in mathbb{R}^+ satisfying xf(y)+yf(x) leq 2",3.888752756677285,4.337425
119,"Consider the cube ABCDA'B'C'D' (ABCD and A'B'C'D' are the upper and lower bases, repsectively, and edges AA', BB', CC', DD' are parallel). The point X moves at a constant speed along the perimeter of the square ABCD in the direction ABCDA, and the point Y moves at the same rate along the perimiter of the square B'C'CB in the direction B'C'CBB'. Points X and Y begin their motion at the same instant from the starting positions A and B', respectively. Determine and draw the locus of the midpionts of the segments XY.",3.8970588235294112,3.2995164
97,"ABC is a triangle, the bisector of angle A meets the circumcircle of triangle ABC in A_1, points B_1 and C_1 are defined similarly. Let AA_1 meet the lines that bisect the two external angles at B and C in A_0. Define B_0 and C_0 similarly. Prove that the area of triangle A_0B_0C_0 = 2 cdot area of hexagon AC_1BA_1CB_1 geq 4 cdot area of triangle ABC.",3.9617083946980856,3.9368172
380,"Let a,b,c be real numbers. Consider the quadratic equation in cos{x} a cos^2{x}+b cos{x}+c=0. Using the numbers a,b,c form a quadratic equation in cos{2x} whose roots are the same as those of the original equation. Compare the equation in cos{x} and cos{2x} for a=4, b=2, c=-1.",3.968253968253968,3.9574828
218,"Let ,n > 6 , be an integer and ,a_{1},a_{2}, cdots ,a_{k} , be all the natural numbers less than n and relatively prime to n. If a_{2} - a_{1} = a_{3} - a_{2} = cdots = a_{k} - a_{k - 1} > 0, prove that ,n , must be either a prime number or a power of ,2.",3.96978021978022,4.382811
221,Find all positive integers a and b for which there are three consecutive integers at which the polynomial P(n) = frac{n^5+a}{b} takes integer values.,3.9901477832512313,4.7252083
22,"In the plane of a triangle ABC, in its exterior, we draw the triangles ABR, BCP, CAQ so that angle PBC = angle CAQ = 45^{ circ}, angle BCP = angle QCA = 30^{ circ}, angle ABR = angle RAB = 15^{ circ}. Prove that a.) angle QRP = 90 ,^{ circ}, and b.) QR = RP.",4.0,4.257453
74,"Given an initial integer n_0 > 1, two players, { mathcal A} and { mathcal B}, choose integers n_1, n_2, n_3, ldots alternately according to the following rules : I.) Knowing n_{2k}, { mathcal A} chooses any integer n_{2k + 1} such that n_{2k} leq n_{2k + 1} leq n_{2k}^2. II.) Knowing n_{2k + 1}, { mathcal B} chooses any integer n_{2k + 2} such that frac {n_{2k + 1}}{n_{2k + 2}} is a prime raised to a positive integer power. Player { mathcal A} wins the game by choosing the number 1990; player { mathcal B} wins by choosing the number 1. For which n_0 does : a.) { mathcal A} have a winning strategy? b.) { mathcal B} have a winning strategy? c.) Neither player have a winning strategy?",4.007421150278293,3.8737922
7,"Prove that from a set of ten distinct two-digit numbers, it is always possible to find two disjoint subsets whose members have the same sum.",4.018691588785047,3.6295218
102,"Find all functions f defined on the non-negative reals and taking non-negative real values such that: f(2)=0,f(x) ne0 for 0 le x<2, and f(xf(y))f(y)=f(x+y) for all x,y.",4.0272108843537415,4.231885
350,"Given n>4 points in the plane, no three collinear. Prove that there are at least frac{(n-3)(n-4)}{2} convex quadrilaterals with vertices amongst the n points.",4.030612244897958,4.39695
39,"On the circle K there are given three distinct points A,B,C. Construct (using only a straightedge and a compass) a fourth point D on K such that a circle can be inscribed in the quadrilateral thus obtained.",4.033613445378151,4.5356216
404,"For each of k=1,2,3,4,5 find necessary and sufficient conditions on a>0 such that there exists a tetrahedron with k edges length a and the remainder length 1.",4.043367346938776,4.2180157
411,"When 4444^{4444} is written in decimal notation, the sum of its digits is A. Let B be the sum of the digits of A. Find the sum of the digits of B. (A and B are written in decimal notation.)",4.111111111111111,3.8320975
165,"Given a point P_0 in the plane of the triangle A_1A_2A_3. Define A_s=A_{s-3} for all s ge4. Construct a set of points P_1,P_2,P_3, ldots such that P_{k+1} is the image of P_k under a rotation center A_{k+1} through an angle 120^o clockwise for k=0,1,2, ldots. Prove that if P_{1986}=P_0, then the triangle A_1A_2A_3 is equilateral.",4.122448979591837,4.4963813
229,"Let S = {1,2, dots,2014 }. For each non-empty subset T subseteq S, one of its members is chosen as its representative. Find the number of ways to assign representatives to all non-empty subsets of S so that if a subset D subseteq S is a disjoint union of non-empty subsets A, B, C subseteq S, then the representative of D is also the representative of one of A, B, C. Warut Suksompong, Thailand",4.128571428571428,4.5021334
273,"Assume that k and n are two positive integers. Prove that there exist positive integers m_1 , dots , m_k such that 1+ frac{2^k-1}{n}= left(1+ frac1{m_1} right) cdots left(1+ frac1{m_k} right).Proposed by Japan",4.131200867443752,4.20366
