post_canonical,score,level
"Find all functions f: mathbb{Z}_{>0} rightarrow mathbb{Z}_{>0} that satisfy the following two conditions: bullet f(n) is a perfect square for all n in mathbb{Z}_{>0} bullet f(m+n)=f(m)+f(n)+2mn for all m,n in mathbb{Z}_{>0}.",4.476190476190476,Medium
"Find all functions f : Bbb{ R} to Bbb{Z} such that left( f(f(y) - x) right)^2+ f(x)^2 + f(y)^2 = f(y) cdot left( 1 + 2f(f(y)) right),for all x, y in Bbb{R}.",5.411255411255411,Medium
"Find the greatest positive integer N with the following property: there exist integers x_1, . . . , x_N such that x^2_i - x_ix_j is not divisible by 1111 for any i ne j.",6.190476190476191,Hard
"A Benelux n-square (with n geq 2) is an n times n grid consisting of n^2 cells, each of them containing a positive integer, satisfying the following conditions: bullet the n^2 positive integers are pairwise distinct. bullet if for each row and each column we compute the greatest common divisor of the n numbers in that row/column, then we obtain 2n different outcomes. (a) Prove that, in each Benelux n-square (with n geq 2), there exists a cell containing a number which is at least 2n^2. (b) Call a Benelux n-square minimal if all n^2 numbers in the cells are at most 2n^2. Determine all n geq 2 for which there exists a minimal Benelux n-square.",8.0,Hard
"An integer m>1 is rich if for any positive integer n, there exist positive integers x,y,z such that n=mx^2-y^2-z^2. An integer m>1 is poor if it is not rich. Find a poor integer. Find a rich integer.",6.904761904761905,Hard
Pebbles are placed on the squares of a 2021 times 2021 board in such a way that each square contains at most one pebble. The pebble set of a square of the board is the collection of all pebbles which are in the same row or column as this square. (A pebble belongs to the pebble set of the square in which it is placed.) What is the least possible number of pebbles on the board if no two squares have the same pebble set?,6.896551724137932,Hard
"Determine all integers k geqslant 1 with the following property: given k different colours, if each integer is coloured in one of these k colours, then there must exist integers a_1<a_2< cdots<a_{2023} of the same colour such that the differences a_2-a_1,a_3-a_2, dots,a_{2023}-a_{2022} are all powers of 2.",4.666666666666667,Medium
"Yesterday, n ge 4 people sat around a round table. Each participant remembers only who his two neighbours were, but not necessarily which one sat on his left and which one sat on his right. Today, you would like the same people to sit around the same round table so that each participant has the same two neighbours as yesterday (it is possible that yesterdays left-hand side neighbour is todays right-hand side neighbour). You are allowed to query some of the participants: if anyone is asked, he will answer by pointing at his two neighbours from yesterday. a) Determine the minimal number f(n) of participants you have to query in order to be certain to succeed, if later questions must not depend on the outcome of the previous questions. That is, you have to choose in advance the list of people you are going to query, before effectively asking any question. b) Determine the minimal number g(n) of participants you have to query in order to be certain to succeed, if later questions may depend on the outcome of previous questions. That is, you can wait until you get the first answer to choose whom to ask the second question, and so on.",7.333333333333334,Hard
"Abby and Brian play the following game: They first choose a positive integer N. Then they write numbers on a blackboard in turn. Abby starts by writing a 1. Thereafter, when one of them has written the number n, the other writes down either n + 1 or 2n, provided that the number is not greater than N. The player who writes N on the blackboard wins. (a) Determine which player has a winning strategy if N = 2011. (b) Find the number of positive integers N leqslant2011 for which Brian has a winning strategy. (This is based on ISL 2004, Problem C5.)",4.9523809523809526,Medium
"A circle omega passes through the two vertices B and C of a triangle ABC. Furthermore, omega intersects segment AC in D ne C and segment AB in E ne B. On the ray from B through D lies a point K such that |BK| = |AC|, and on the ray from C through E lies a point L such that |CL| = |AB|. Show that the circumcentre O of triangle AKL lies on omega.",7.056277056277056,Hard
"Let ABC be a triangle with incentre I and circumcircle omega. Let N denote the second point of intersection of line AI and omega. The line through I perpendicular to AI intersects line BC, segment [AB], and segment [AC] at the points D, E, and F, respectively. The circumcircle of triangle AEF meets omega again at P, and lines PN and BC intersect at Q. Prove that lines IQ and DN intersect on omega.",8.571428571428573,Very Hard
"In the land of Heptanomisma, four different coins and three different banknotes are used, and their denominations are seven different natural numbers. The denomination of the smallest banknote is greater than the sum of the denominations of the four different coins. A tourist has exactly one coin of each denomination and exactly one banknote of each denomination, but he cannot afford the book on numismatics he wishes to buy. However, the mathematically inclined shopkeeper offers to sell the book to the tourist at a price of his choosing, provided that he can pay this price in more than one way. (The tourist can pay a price in more than one way if there are two different subsets of his coins and notes, the denominations of which both add up to this price.) (a) Prove that the tourist can purchase the book if the denomination of each banknote is smaller than 49. (b) Show that the tourist may have to leave the shop empty-handed if the denomination of the largest banknote is 49.",8.498789346246973,Very Hard
"Let ABC be a scalene acute triangle. Let B_1 be the point on ray [AC such that |AB_1|=|BB_1|. Let C_1 be the point on ray [AB such that |AC_1|=|CC_1|. Let B_2 and C_2 be the points on line BC such that |AB_2|=|CB_2| and |BC_2|=|AC_2|. Prove that B_1, C_1, B_2, C_2 are concyclic.",4.468864468864469,Medium
"Let n ge 1 be an integer. In town X there are n girls and n boys, and each girl knows each boy. In town Y there are n girls, g_1,g_2, ldots ,g_n, and 2n-1 boys, b_1,b_2, ldots ,b_{2n-1}. For i=1,2, ldots ,n, girl g_i knows boys b_1,b_2, ldots ,b_{2i-1} and no other boys. Let r be an integer with 1 le r le n. In each of the towns a party will be held where r girls from that town and r boys from the same town are supposed to dance with each other in r dancing pairs. However, every girl only wants to dance with a boy she knows. Denote by X(r) the number of ways in which we can choose r dancing pairs from town X, and by Y(r) the number of ways in which we can choose r dancing pairs from town Y. Prove that X(r)=Y(r) for r=1,2, ldots ,n.",6.80952380952381,Hard
"Let n be a positive integer. For each partition of the set {1,2, dots,3n } into arithmetic progressions, we consider the sum S of the respective common differences of these arithmetic progressions. What is the maximal value that S can attain? (An arithmetic progression is a set of the form {a,a+d, dots,a+kd }, where a,d,k are positive integers, and k geqslant 2; thus an arithmetic progression has at least three elements, and successive elements have difference d, called the common difference of the arithmetic progression.)",7.59581881533101,Hard
"A positive integer n is friendly if the difference of each pair of neighbouring digits of n, written in base 10, is exactly 1. For example, 6787 is friendly, but 211 and 901 are not. Find all odd natural numbers m for which there exists a friendly integer divisible by 64m.",6.476190476190475,Hard
"Let ABC be a triangle. The circle omega_A through A is tangent to line BC at B. The circle omega_C through C is tangent to line AB at B. Let omega_A and omega_C meet again at D. Let M be the midpoint of line segment [BC], and let E be the intersection of lines MD and AC. Show that E lies on omega_A.",6.607142857142857,Hard
"Find all quadruples (a, b, p, n) of positive integers, such that p is a prime and a^3 + b^3 = p^n mbox{.} (2nd Benelux Mathematical Olympiad 2010, Problem 4)",6.428571428571428,Hard
"A finite set of integers is called bad if its elements add up to 2010. A finite set of integers is a Benelux-set if none of its subsets is bad. Determine the smallest positive integer n such that the set {502, 503, 504, . . . , 2009 } can be partitioned into n Benelux-sets. (A partition of a set S into n subsets is a collection of n pairwise disjoint subsets of S, the union of which equals S.) (2nd Benelux Mathematical Olympiad 2010, Problem 1)",3.835978835978836,Medium
"Let ABC be a triangle with incentre I. The angle bisectors AI, BI and CI meet [BC], [CA] and [AB] at D, E and F, respectively. The perpendicular bisector of [AD] intersects the lines BI and CI at M and N, respectively. Show that A, I, M and N lie on a circle.",5.761904761904761,Medium
"An integer n geq 2 having exactly s positive divisors 1=d_1<d_2< cdots<d_s=n is said to be good if there exists an integer k, with 2 leq k leq s, such that d_k>1+d_1+ cdots+d_{k-1}. An integer n geq 2 is said to be bad if it is not good. (a) Show that there are infinitely many bad integers. (b) Prove that, among any seven consecutive integers all greater than 2, there are always at least four good integers. (c) Show that there are infinitely many sequences of seven consecutive good integers.",3.704600484261501,Medium
"Determine the smallest positive integer q with the following property: for every integer m with 1 leqslant m leqslant 1006, there exists an integer n such that dfrac{m}{1007}q<n< dfrac{m+1}{1008}q.",4.529616724738677,Medium
"(a) Determine the minimal value of displaystyle left(x+ dfrac{1}{y} right) left(x+ dfrac{1}{y}-2018 right)+ left(y+ dfrac{1}{x} right) left(y+ dfrac{1}{x}-2018 right), where x and y vary over the positive reals. (b) Determine the minimal value of displaystyle left(x+ dfrac{1}{y} right) left(x+ dfrac{1}{y}+2018 right)+ left(y+ dfrac{1}{x} right) left(y+ dfrac{1}{x}+2018 right), where x and y vary over the positive reals.",4.430992736077482,Medium
"Does there exist a prime number whose decimal representation is of the form 3811 cdots11 (that is, consisting of the digits 3 and 8 in that order, followed by one or more digits 1)?",5.505226480836236,Medium
"A sequence a_1, a_2, a_3, ldots of positive integers satisfies a_1 > 5 and a_{n+1} = 5 + 6 + cdots + a_n for all positive integers n. Determine all prime numbers p such that, regardless of the value of a_1, this sequence must contain a multiple of p.",6.25615763546798,Hard
In the convex quadrilateral ABCD we have angle B = angle C and angle D = 90^{ circ}. Suppose that |AB| = 2|CD|. Prove that the angle bisector of angle ACB is perpendicular to CD.,4.285714285714287,Medium
"For all integers n ge 2 with the following property: for each pair of positive divisors k,~ ell <n, at least one of the numbers 2k- ell and 2 ell-k is a (not necessarily positive) divisor of n as well.",7.0,Hard
"Find all functions f : Bbb{Q}_{>0} to Bbb{Z}_{>0} such that f(xy) cdot gcd left( f(x)f(y), f( frac{1}{x})f( frac{1}{y}) right) = xyf( frac{1}{x})f( frac{1}{y}),for all x, y in Bbb{Q}_{>0,} where gcd(a, b) denotes the greatest common divisor of a and b.",6.476190476190475,Hard
"Let n geqslant 0 be an integer, and let a_0,a_1, dots,a_n be real numbers. Show that there exists k in {0,1, dots,n } such that a_0+a_1x+a_2x^2+ cdots+a_nx^n leqslant a_0+a_1+ cdots+a_kfor all real numbers x in[0,1].",6.996336996336996,Hard
"A subset A of the natural numbers mathbb{N} = {0, 1, 2, dots } is called good if every integer n>0 has at most one prime divisor p such that n-p in A. (a) Show that the set S = {0, 1, 4, 9, dots } of perfect squares is good. (b) Find an infinite good set disjoint from S. (Two sets are disjoint if they have no common elements.)",5.7142857142857135,Medium
A divisor d of a positive integer n is said to be a close divisor of n if sqrt{n}<d<2 sqrt{n}. Does there exist a positive integer with exactly 2020 close divisors?,8.285714285714285,Very Hard
"A sequence a_1,a_2, ldots ,a_n, ldots of natural numbers is defined by the rule a_{n+1}=a_n+b_n (n=1,2, ldots) where b_n is the last digit of a_n. Prove that such a sequence contains infinitely many powers of 2 if and only if a_1 is not divisible by 5.",1.5714285714285714,Easy
"Let ABC be a triangle with orthocentre H, and let D, E, and F denote the respective midpoints of line segments AB, AC, and AH. The reflections of B and C in F are P and Q, respectively. (a) Show that lines PE and QD intersect on the circumcircle of triangle ABC. (b) Prove that lines PD and QE intersect on line segment AH.",5.907990314769975,Medium
